time,price,portfolio_value,action,action_name,amount_bought,amount_sold,cash,shares,commission
140,12.809777,10137.068375,4,buy-small,66.482665,0.000000,7251.514763,236.246065,1.611448
141,12.566960,10103.876940,1,sell-large,0.000000,118.123032,8691.406015,118.123032,2.885554
142,12.337887,10110.000254,4,buy-small,72.539682,0.000000,7822.265414,190.662715,1.738281
143,12.360794,10105.528669,1,sell-large,0.000000,95.331357,8963.845099,95.331357,2.287735
144,12.223350,10098.283026,4,buy-small,74.699021,0.000000,8067.460589,170.030378,1.792769
145,12.461586,10100.147174,1,sell-large,0.000000,85.015189,9080.840985,85.015189,2.030822
146,12.333305,10098.331006,1,buy-small,75.587238,0.000000,8172.756887,160.602427,1.816168
147,12.053835,10102.981290,4,buy-small,68.028514,0.000000,7355.481198,228.630942,1.634551
148,12.319560,10096.043900,1,sell-large,0.000000,114.315471,8726.483744,114.315471,2.747500
149,12.424935,10139.707672,4,buy-small,72.693189,0.000000,7853.835370,187.008660,1.745297
150,12.699822,10101.008876,1,sell-large,0.000000,93.504330,8994.485648,93.504330,2.285872
151,12.851010,10075.932872,1,buy-small,75.853926,0.000000,8095.037084,169.358256,1.798897
152,12.846429,10012.049324,4,buy-small,69.070743,0.000000,7285.533375,238.428999,1.619007
153,12.741055,10008.776805,1,sell-large,0.000000,119.214499,8646.064834,119.214499,2.726516
154,12.438678,9932.117763,4,buy-small,75.487325,0.000000,7781.458350,194.701824,1.729213
155,12.172953,9898.300410,1,sell-large,0.000000,97.350912,8854.637397,97.350912,2.150659
156,12.191280,9828.165940,1,buy-small,82.429194,0.000000,7969.173658,179.780107,1.770927
157,12.232513,9893.606345,4,buy-small,76.914439,0.000000,7172.256292,256.694546,1.593835
158,12.328723,9940.866504,1,sell-large,0.000000,128.347273,8530.209969,128.347273,2.721350
159,12.530308,9963.675554,4,buy-small,77.456099,0.000000,7677.188972,205.803373,1.706042
160,12.617356,9954.317457,0,sell-large,0.000000,102.901686,8818.145776,102.901686,2.286487
161,12.608193,9910.473416,1,nothing,0.000000,0.000000,8818.145776,102.901686,0.000000
